NAMESPACE                LAST SEEN             TYPE      REASON                         OBJECT                                                             MESSAGE
preprod-plt-25-03-2026   60m                   Normal    ScalingReplicaSet              Deployment/django-dashboard-deployment-plt-25-03-2026              Scaled up replica set django-dashboard-deployment-plt-25-03-2026-6dc65499d8 from 0 to 1
preprod-plt-25-03-2026   60m                   Normal    SuccessfulCreate               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-6dc65499d8   Created pod: django-dashboard-deployment-plt-25-03-2026-6dc65499d8-p9z7p
preprod-plt-25-03-2026   60m                   Normal    Scheduled                      Pod/django-dashboard-deployment-plt-25-03-2026-6dc65499d8-p9z7p    Successfully assigned preprod-plt-25-03-2026/django-dashboard-deployment-plt-25-03-2026-6dc65499d8-p9z7p to minikube
preprod-plt-25-03-2026   60m                   Normal    SuccessfulDelete               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-6dcc4d79f9   Deleted pod: django-dashboard-deployment-plt-25-03-2026-6dcc4d79f9-nrvfd
preprod-plt-25-03-2026   60m                   Normal    Killing                        Pod/django-dashboard-deployment-plt-25-03-2026-6dcc4d79f9-nrvfd    Stopping container container-django-dashboard-plt-25-03-2026
preprod-plt-25-03-2026   60m                   Normal    ScalingReplicaSet              Deployment/django-dashboard-deployment-plt-25-03-2026              Scaled up replica set django-dashboard-deployment-plt-25-03-2026-6dc65499d8 from 1 to 2
preprod-plt-25-03-2026   60m                   Normal    SuccessfulCreate               ReplicaSet/django-dashboard-deployment-plt-25-03-2026-6dc65499d8   Created pod: django-dashboard-deployment-plt-25-03-2026-6dc65499d8-2j8vz
preprod-plt-25-03-2026   60m                   Normal    Started                        Pod/django-dashboard-deployment-plt-25-03-2026-6dc65499d8-p9z7p    Container started
preprod-plt-25-03-2026   60m                   Normal    Pulled                         Pod/django-dashboard-deployment-plt-25-03-2026-6dc65499d8-p9z7p    Container image "plt/app-django-plt-25-03-2026:v1" already present on machine and can be accessed by the pod
preprod-plt-25-03-2026   60m                   Normal    Created                        Pod/django-dashboard-deployment-plt-25-03-2026-6dc65499d8-p9z7p    Container created
preprod-plt-25-03-2026   60m                   Normal    ScalingReplicaSet              Deployment/django-dashboard-deployment-plt-25-03-2026              Scaled down replica set django-dashboard-deployment-plt-25-03-2026-6dcc4d79f9 from 3 to 2
